"ep_no","series_ep_code","title","air_date","alt_title"
"","s00e01","The Treasure of Hexagon Island","2021-08-28"
"","s00e02","Double Back","2021-08-29"
"","s00e03","About Time","2021-10-31"
"","s00e04","The Twelve Days of Christmas","2021-12-12"
"","s00e05","Numbersongs: Five Little Speckled Frogs","2019-04-26"
"","s00e06","Numbersongs: Zoom Zoom Zoom!","2019-04-26"
"","s00e07","Numbersongs: Scoop a Scoop","2019-04-26"
"","s00e08","Numbersongs: Who Has More?","2019-04-26"
"","s00e09","Numbersongs: Five Little Boats","2019-04-26"
"","s00e10","Numbersongs: Days of Spring","2019-04-26"
"","s00e11","Numbersongs: How Many Passengers?","2019-04-26"
"","s00e12","Numbersongs: Let's All Draw Numbers","2019-04-26"
"","s00e13","Numbersongs: Hen House Hop","2019-04-26"
"","s00e14","Numbersongs: Counting Cars","2019-04-26"
"","s00e15","Numbersongs: How Many Sleeps til' Christmas?","2022-12-15"
"","s00e16","Numbersongs: Numberblocks Birthday Song","2024-08-05"
"","s00e17","Numbersongs: Making Christmas Magical","2025-11-28"
"001","s01e01","One","2016-01-23"
"002","s01e02","Another One","2017-01-24"
"003","s01e03","Two","2017-01-25"
"004","s01e04","Three","2017-01-25"
"005","s01e05","One, Two, Three!","2017-01-26"
"006","s01e06","Four","2017-01-30"
"007","s01e07","Five","2017-01-31"
"008","s01e08","Three Little Pigs","2017-02-01"
"009","s01e09","Off We Go","2017-02-02"
"010","s01e10","How to Count","2017-02-02"
"011","s01e11","Stampolines","2017-02-06"
"012","s01e12","The Whole of Me","2017-02-07"
"013","s01e13","The Terrible Twos","2017-02-08"
"014","s01e14","Holes","2017-02-09"
"015","s01e15","Hide and Seek","2017-02-09"
"016","s02e01","Six","2017-04-30"
"017","s02e02","Seven","2017-05-01"
"018","s02e03","Eight","2017-05-02"
"019","s02e04","Nine","2017-05-03"
"020","s02e05","Ten","2017-05-04"
"021","s02e06","Just Add One","2017-05-07"
"022","s02e07","Blast Off","2017-05-08"
"023","s02e08","Counting Sheep","2017-05-09"
"024","s02e09","Double Trouble","2017-05-10"
"025","s02e10","The Three Threes","2017-05-11"
"026","s02e11","Odds and Evens","2017-05-14"
"027","s02e12","Fluffies","2017-05-15"
"028","s02e13","The Two Tree","2017-05-16"
"029","s02e14","Numberblock Castle","2017-05-17"
"030","s02e15","Ten Green Bottles","2017-05-18"
"031","s03e01","Once Upon a Time","2018-09-16"
"032","s03e02","Blockzilla","2018-09-17"
"033","s03e03","The Numberblocks Express","2018-09-18"
"034","s03e04","Fruit Salad","2018-09-19"
"035","s03e05","Zero","2018-09-20"
"036","s03e06","Now We Are Six to Ten","2018-09-23"
"037","s03e07","Numberblobs","2018-09-24"
"038","s03e08","Building Blocks","2018-09-25"
"039","s03e09","Peekaboo!","2018-09-26"
"040","s03e10","Hiccups","2018-09-27"
"041","s03e11","What's the Difference?","2018-09-30"
"042","s03e12","Numberblock Rally","2018-10-01"
"043","s03e13","Five and Friends","2018-10-02"
"044","s03e14","Octoblock to the Rescue!","2018-10-03"
"045","s03e15","Ten Again","2018-10-04"
"046","s03e16","Flatland","2018-10-07"
"047","s03e17","Pattern Palace","2018-10-08"
"048","s03e18","The Legend of Big Tum","2018-10-09"
"049","s03e19","Mirror, Mirror","2018-10-10"
"050","s03e20","The Wrong Number","2018-10-11"
"051","s03e21","Eleven","2019-01-20"
"052","s03e22","Twelve","2019-01-21"
"053","s03e23","The Way of the Rectangle","2019-01-22"
"054","s03e24","Ride the Rays","2019-01-23"
"055","s03e25","Block Star","2019-01-24"
"056","s03e26","Thirteen","2019-01-27"
"057","s03e27","Fourteen","2019-01-29"
"058","s03e28","Fifteen","2019-01-30"
"059","s03e29","Tween Scenes","2019-01-31"
"060","s03e30","Step Squads","2019-02-01"
"061","s04e01","Fifteen's Minute of Fame","2019-06-10"
"062","s04e02","On Your Head","2019-06-11"
"063","s04e03","Ten's Place","2019-06-12"
"064","s04e04","Balancing Bridge","2019-06-13"
"065","s04e05","Sixteen","2019-06-14"
"066","s04e06","Square Club","2019-06-17"
"067","s04e07","Seventeen","2019-06-18"
"068","s04e08","Eighteen","2019-06-19"
"069","s04e09","Loop the Loop","2019-06-20"
"070","s04e10","Nineteen","2019-06-21"
"071","s04e11","Twenty","2019-07-08"
"072","s04e12","Tall Stories","2019-07-09"
"073","s04e13","Flights of Fancy","2019-07-10"
