"ep_no","series_ep_code","title","air_date"
"","s00e01","Blind Date",""
"","s00e02","The Bus Stop",""
"","s00e03","The Library",""
"","s00e04","The Story of Mr Bean",""
"","s00e05","Double Trouble Voice Recording",""
"","s00e06","Making Of Mr. Bean Animated Series",""
"","s00e07","The Fish",""
"","s00e08","The Robbery",""
"","s00e09","Theme",""
"","s00e10","How the Animators Used Rowan",""
"","s00e11","One Side Love",""
"","s00e12","Horror Movie",""
"","s00e13","Double Trouble Voice Recording",""
"","s00e14","No Parking Live Action Guide",""
"001","s01e01","In The Wild","2002-01-05"
"002","s01e02","Missing Teddy","2002-01-05"
"003","s01e03","No Parking","2002-01-05"
"004","s01e04","Bean's Bounty","2002-01-05"
"005","s01e05","Mime Games","2002-01-12"
"006","s01e06","Spring Clean","2002-01-12"
"007","s01e07","Birthday Bear","2002-01-19"
"008","s01e08","The Mole","2002-01-19"
"009","s01e09","Roadworks","2002-01-26"
"010","s01e10","The Sofa","2002-01-26"
"011","s01e11","Treasure!","2002-02-03"
"012","s01e12","Homeless","2002-02-03"
"013","s01e13","Nurse!","2002-02-10"
"014","s01e14","Dead Cat","2002-02-10"
"015","s01e15","Super Trolley","2002-02-17"
"016","s01e16","Magpie","2002-02-17"
"017","s01e17","Cat-Sitting","2002-03-26"
"018","s01e18","The Bottle","2002-03-26"
"019","s02e01","Goldfish","2003-02-16"
"020","s02e02","Inventor","2003-02-16"
"021","s02e03","Royal Bean","2003-02-23"
"022","s02e04","Young Bean","2003-02-23"
"023","s02e05","In the Pink","2003-03-01"
"024","s02e06","Dinner for Two","2003-03-01"
"025","s02e07","The Ball","2003-03-08"
"026","s02e08","Toothache","2003-03-08"
"027","s02e09","Haircut","2003-03-15"
"028","s02e10","Neighbourly Bean","2003-03-15"
"029","s02e11","Car Trouble","2003-03-22"
"030","s02e12","Restaurant","2003-03-22"
"031","s02e13","Art Thief","2003-03-29"
"032","s02e14","Scaredy Bean","2003-03-29"
"033","s02e15","Hot Date","2003-04-05"
"034","s02e16","Wanted","2003-04-05"
"035","s03e01","Gadget Kid","2004-05-06"
"036","s03e02","The Visitor","2004-05-10"
"037","s03e03","Big TV","2004-05-11"
"038","s03e04","Keyboard Capers","2004-05-12"
"039","s03e05","Artful Bean","2004-05-14"
"040","s03e06","The Fly","2004-05-17"
"041","s03e07","A Royal Makeover","2004-05-18"
"042","s03e08","SuperMarrow","2004-05-19"
"043","s03e09","A Running Battle","2004-05-20"
"044","s03e10","Egg and Bean","2004-05-21"
"045","s03e11","Camping","2004-05-24"
"046","s03e12","Chocks Away","2004-05-25"
"047","s03e13","Hopping Mad!","2004-05-26"
"048","s03e14","A Grand Invitation","2004-05-26"
"049","s03e15","No Pets","2004-05-27"
"050","s03e16","Ray of Sunshine","2004-05-28"
"051","s03e17","Bean in Love","2004-06-02"
"052","s03e18","Double Trouble","2004-06-02"
"053","s04e01","Home Movie","2015-02-16"
"054","s04e02","Fish Sitting","2015-02-16"
"055","s04e03","The Cruise","2015-02-17"
"056","s04e04","Coconut Shy","2015-02-17"
"057","s04e05","Green Bean","2015-02-18"
"058","s04e06","Cash Machine","2015-02-18"
"059","s04e07","Litterbugs","2015-02-19"
"060","s04e08","Rat Trap","2015-02-19"
"061","s04e09","Valentine's Bean","2016-03-11"
"062","s04e10","All You Can Eat","2015-02-20"
"063","s04e11","Flat Pack","2015-02-23"
"064","s04e12","Holiday for Teddy","2015-02-24"
"065","s04e13","The Newspaper","2015-02-25"
"066","s04e14","Viral Bean","2015-09-04"
"067","s04e15","Super Spy","2015-09-04"
"068","s04e16","Scout Bean","2015-09-04"
"069","s04e17","Back to School","2015-09-04"
"070","s04e18","Lord Bean","2015-09-04"
"071","s04e19","Car Wars","2015-09-07"
"072","s04e20","Wedding Day","2015-09-08"
"073","s04e21","Bean Phone","2015-09-09"
"074","s04e22","Hotel Bean","2015-09-10"
"075","s04e23","Jurassic Bean","2015-09-11"
"076","s04e24","Caring Bean","2015-09-14"
"077","s04e25","Opera Bean","2015-09-15"
"078","s04e26","Taxi Bean","2015-09-16"
"079","s04e27","Muscle Bean","2016-01-04"
"080","s04e28","A New Friend","2016-01-05"
"081","s04e29","The Lift","2016-01-06"
"082","s04e30","Dig This","2016-01-07"
"083","s04e31","Bean Hypnotized","2016-01-08"
"084","s04e32","Car Wash","2016-01-11"
"085","s04e33","Where Did You Get That Cat?","2016-01-12"
"086","s04e34","Valuable Lessons","2016-01-13"
"087","s04e35","Halloween","2016-01-14"
"088","s04e36","Bean Painting","2016-01-15"
"089","s04e37","Wrestle Bean","2016-01-18"
"090","s04e38","Rare Bird","2016-01-19"
"091","s04e39","Bean's Safari","2016-01-20"
"092","s04e40","A Round of Golf","2016-02-22"
"093","s04e41","Superhero Bean","2016-02-23"
"094","s04e42","What a Load of Rubbish","2016-02-24"
"095","s04e43","The Robot","2016-02-25"
"096","s04e44","Ice Cream","2016-02-26"
"097","s04e45","Birthday Party","2016-02-29"
"098","s04e46","In the Garden","2016-03-01"
"099","s04e47","A Magic Day Out","2016-03-02"
"100","s04e48","Ball Pool","2016-03-04"
"101","s04e49","Pizza Bean","2016-03-07"
"102","s04e50","The Photograph","2016-03-08"
"103","s04e51","Dancing Bean","2016-03-09"
"104","s04e52","Bean Shopping","2016-03-10"
"105","s05e01","Game Over","2019-04-09"
"106","s05e02","Special Delivery","2019-04-09"
"107","s05e03","A Dog's Life","2019-04-16"
"108","s05e04","Big Stink","2019-04-16"
"109","s05e05","Birthday Bother","2019-04-23"
"110","s05e06","Bed Bean","2019-04-23"
"111","s05e07","Spa Day","2019-04-30"
"112","s05e08","Charity Bean","2019-04-30"
"113","s05e09","Bean Encore","2019-05-07"
"114","s05e10","Mobile Home","2019-05-07"
"115","s05e11","Haunted House","2019-05-14"
"116","s05e12","Eau De Bean","2019-05-14"
"117","s05e13","Running on Empty","2019-05-21"
"118","s05e14","Bean Bug","2019-09-30"
"119","s05e15","Coffee Bean","2019-09-30"
"120","s05e16","The Big Freeze","2019-10-01"
"121","s05e17","Scrapper Cleans Up","2019-10-01"
"122","s05e18","Coach Trip","2019-10-02"
"123","s05e19","Save That Tree","2019-10-02"
"124","s05e20","For Sale","2019-10-03"
"125","s05e21","Jumping Bean","2019-10-03"
"126","s05e22","Cat Chaos","2019-10-04"
"127","s05e23","Stick It","2019-10-04"
"128","s05e24","Bean at the Museum","2019-10-07"
"129","s05e25","A Car for Irma","2019-10-07"
"130","s05e26","Trophy Bean","2019-10-08"
"131","s06e01","A Day in Bed","2025-05-01"
"132","s06e02","Karting Bean","2025-05-01"
"133","s06e03","Bowled Over","2025-05-02"
"134","s06e04","Sample Sale","2025-05-02"
"135","s06e05","Grounded","2025-05-04"
"136","s06e06","Un-Suitable","2025-05-04"
